0.3.0-alpha
0.5.0-beta
0.6.0-beta
0.7.0-beta
1.0.0
1.0.1
1.1
1.1.0
1.1.1
1.2.0
1.2.0-rc1
1.3.0
CVE/FIXED
CVE/UNAFFECTED
CVE/UNFIXED
DFX/nonlocalizable
DFX/repeat-locating
DFX/solved-or-ignore
DFX/start-analysis
Henan-assistance
approved
attr/EOU
attr/compatibility
attr/deployment
attr/function
attr/openness
attr/performance
attr/portability
attr/reliability
attr/security
attr/serviceability
bug/api
bug/cann
can-review
ci-pipeline-failed
ci-pipeline-passed
ci-pipeline-passed-t
ci-pipeline-running
cloned-from-github
comp/ThirdParty
comp/ad
comp/akg
comp/api
comp/ascend
comp/build-install
comp/checkpoint
comp/ci
comp/compiler
comp/core
comp/cxx-api
comp/data
comp/debug
comp/device
comp/doc
comp/environment
comp/example
comp/frontend
comp/gpu
comp/graph-utils
comp/infer
comp/ir
comp/kernel
comp/lite
comp/log
comp/mba
comp/mdp
comp/minddata
comp/mindrecord
comp/modelzoo
comp/mslite
comp/numpy
comp/onnx
comp/operation
comp/operator
comp/optimizer
comp/parallel
comp/parser
comp/pipeline
comp/profiler
comp/ps
comp/py-com
comp/py-compression
comp/py-core
comp/py-data
comp/py-explainer
comp/py-parallel
comp/py-profiler
comp/pybind-api
comp/pynative
comp/rdr
comp/runtime
comp/train
comp/transform
comp/vm
device/ascend
device/cpu
device/gpu
env/linux
env/macos
env/other
env/windows
func/AD
func/DPP
func/DT
func/MindArmour
func/MindData
func/SC
func/compression
func/deployment
func/device-cloud
func/load-save-model
func/modelzoo
func/parse
func/pynative
func/tool
func/train-express
good-example-for-all
good-first-issue
kind/DFX
kind/RFC
kind/bug
kind/build-install
kind/ci
kind/cleancode
kind/cluster-debug
kind/coding
kind/compatibility
kind/decision
kind/deployment
kind/discussion
kind/doc
kind/docs
kind/enhancement
kind/feature
kind/function
kind/generality
kind/help-wanted
kind/maintainance
kind/maintenance
kind/meeting
kind/mindless
kind/performance
kind/precision
kind/question
kind/reliability
kind/roadmap
kind/security
kind/task
kind/testing
kind/trustworthiness
kind/vote
lgtm
lgtm-anyrenwei
lgtm-auroraustc
lgtm-biffex
lgtm-bigwhitej
lgtm-bojieli
lgtm-brovensmile
lgtm-c_34
lgtm-changzherui
lgtm-chenfei52
lgtm-chongbao
lgtm-chujinjin
lgtm-ckey_dou
lgtm-coding2020
lgtm-cristoval
lgtm-darksniper
lgtm-dayschan
lgtm-ddwsky
lgtm-dengyiping
lgtm-destinywck
lgtm-donghufeng
lgtm-dylangeng
lgtm-dyonghan
lgtm-fenghaolin
lgtm-gaocongli_hw
lgtm-gaoxiong1
lgtm-gemini524
lgtm-giancarlo
lgtm-ginfung
lgtm-gongchen123
lgtm-guoqi1024
lgtm-gxiang27
lgtm-hangangqiang
lgtm-hanhuifeng2020
lgtm-hanshize
lgtm-heleiwang
lgtm-helloway
lgtm-hilbertdavid
lgtm-hiranoaya
lgtm-hwhewei
lgtm-ivss
lgtm-ji_chen
lgtm-jjfeing
lgtm-john_tzanakakis
lgtm-jonahlei
lgtm-jonyguo
lgtm-jpc_chenjianpin
lgtm-jting992
lgtm-justkitt
lgtm-jxlang910
lgtm-kangyangzc
lgtm-keynovo
lgtm-kingxian
lgtm-kisnwang
lgtm-lanzhineng
lgtm-leilei_snow
lgtm-leonwanghui
lgtm-li_geng_hong
lgtm-liangchenghui
lgtm-liangyongxiong1
lgtm-lilongfei15
lgtm-limingqi107
lgtm-linqingke
lgtm-littlecats7
lgtm-liu_luobin
lgtm-liu_tao12138
lgtm-liuchongming74
lgtm-liucunwei
lgtm-liujunzhu
lgtm-liuxuesong6
lgtm-lixiaohui33
lgtm-ljl0711
lgtm-looop5
lgtm-lwenyuanl
lgtm-lyd911
lgtm-m20211031
lgtm-majorzhang
lgtm-mikef
lgtm-mindspore_ci
lgtm-mindwang
lgtm-nsyca
